tscr_a,tscr_b,tscr_r,tlr_a,tlr_b,tlr_r,Vinflux,Vdam,Vtag,Vrep,dil_rh,dil_rd,dil_rt,dil_rma,dil_rmb,dil_rmr,dil_rtca,dil_rtcb,dil_rtcr,deg_rd,deg_rma,deg_rmb,deg_rmr
1.0,5.0,1.0,60.0,1.0,5.0,61121.0,53808.0,13.0,153.0,7484.0,49604.0,492.0,0.0,0.0,0.0,399.0,45.0,6.0,3560.0,2.0,6.0,2.0
1.0,2.0,1.0,60.0,35.0,4.0,61030.0,55650.0,155.0,2210.0,7998.0,48714.0,1228.0,0.0,0.0,0.0,399.0,537.0,5.0,3459.0,1.0,2.0,1.0
2.0,5.0,1.0,40.0,21.0,5.0,61520.0,54892.0,310.0,4980.0,8374.0,49545.0,684.0,0.0,1.0,0.0,41.0,679.0,6.0,3513.0,3.0,5.0,1.0
0.0,0.0,1.0,30.0,2.0,1.0,60990.0,54555.0,55.0,1183.0,7703.0,48946.0,926.0,0.0,0.0,0.0,31.0,3.0,2.0,3488.0,0.0,1.0,1.0
1.0,1.0,0.0,10.0,32.0,0.0,60773.0,53286.0,13.0,47.0,7574.0,49102.0,662.0,0.0,0.0,0.0,395.0,33.0,1.0,3443.0,2.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,50.0,9.0,1.0,61513.0,56694.0,263.0,2836.0,7963.0,48804.0,1587.0,0.0,0.0,0.0,237.0,10.0,2.0,3432.0,2.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,5.0,16.0,0.0,60901.0,53376.0,5.0,17.0,7556.0,49589.0,220.0,0.0,0.0,0.0,6.0,69.0,1.0,3541.0,2.0,2.0,0.0
0.0,0.0,0.0,9.0,10.0,0.0,61073.0,54209.0,60.0,430.0,7688.0,49557.0,415.0,0.0,0.0,0.0,10.0,11.0,1.0,3514.0,1.0,1.0,0.0
0.0,3.0,0.0,36.0,31.0,2.0,61364.0,55121.0,104.0,1265.0,7769.0,49099.0,1148.0,0.0,2.0,0.0,37.0,77.0,3.0,3481.0,0.0,2.0,0.0
0.0,1.0,0.0,31.0,1.0,0.0,61428.0,55730.0,382.0,2748.0,8519.0,49292.0,866.0,0.0,0.0,0.0,32.0,334.0,1.0,3552.0,1.0,2.0,1.0
